,Name,Price,Reviews,Description
167,Room in Santacruz East,"₹14,208",4.9,"Centrally located, cosy room w ensuite bathroom"
168,Flat in Bandra West,NA,4.77,Cozy Homes - Residency - 1BHK in Bandra 9th Floor
169,Room in Andheri East,"₹11,698",4.85,Cozy stay in an Independent Building (#5)
170,Room in Andheri West,"₹5,701",4.86,ghar jesi vibe (living room)
171,Flat in Mumbai,"₹46,218",5,Stylish Private 2BHK In Bandra
172,Apartment in Andheri East,"₹39,000",NA,Refreshing 2BHK Attached Balcony 7 Mins to Airport
173,Flat in Mumbai,"₹53,300",5,Peachy 2BHK Car Park Balcony Location+ 55 TV Wifi
174,Flat in Kurla West,NA,4.56,"Como Stylish Studio w/ Wi-Fi, Kitchen & Parking"
175,Room in Juhu,"₹25,718",4.98,Boho Room in Juhu (Private room in shared home)
176,Flat in Santacruz East,NA,5,"The Emerald Bloom, 2BHK Apt near Airport,Bkc&NMACC"
177,Flat in Juhu,"₹33,665",5,Bliss 111: 2Bedroom apt with housekeeping nr Juhu
178,Flat in Mumbai,"₹35,700",5,Boho 1BHK 10 mins to Sea Daily Clean Wifi 55 TV
179,Room in Santacruz East,"₹12,451",5,Sunflower - C (attach washroom) (CS)
180,Flat in Mumbai,"₹31,230",5,Swank @ Speakeasy 2.0 - Juhu Tara Road
181,Apartment in Santacruz East,"₹38,433",4.98,"Lively 2BHK Apt near Airport, BKC & NMACC"
182,Room in Mumbai,"₹28,530",4.92,Private Studio w/terrace/garden
183,Flat in Santacruz East,"₹37,417",4.97,The Summer Homestead - 2 BHK
184,Room in Andheri East,"₹10,613",4.8,Bright Private Room in Shared 2BHK — Airport/Metro
185,Apartment in Bandra West,NA,5,Jaago Home 1
186,Room in Andheri West,"₹18,716",5,Peaceful Boho Room -Andheri W
187,Flat in Mumbai,NA,NA,"Swank @ Marquise - Charming, Quiet 1 BHK in Bandra"
188,Room in Andheri West,"₹16,542",5,Balcony Bliss Wrapped in Elegant Comfort
189,Apartment in Andheri East,"₹30,550",4.76,Airy 2BHK 55 TV 7Mins to Airport Smart TV WFH WIFI
190,Flat in Santacruz East,"₹56,533",4.93,"URBAN PAUSE, 2BHK Apt near BKC,airport&NMACC"
191,Flat in Mumbai,"₹31,383",4.93,"A 1 bhk near Bkc, cozy home stay"
192,Apartment in Santacruz East,"₹30,698",4.93,1BHK Apartment at Santacruz close to Airport & BKC
